r000f,r0013,r001a,0,
176,2109396,0,4509,
0,1255879,0,4461,
0,1244935,0,4455,
0,1231295,0,4458,
0,1220403,0,4452,
0,1220804,0,4457,
0,1220774,0,4457,
0,1220379,0,4452,
0,1227582,0,4453,
0,1220772,0,4457,
0,1220755,0,4479,
0,1233147,0,4485,
0,1229067,0,4476,
0,1226809,0,4474,
0,1226003,0,4472,
0,1282637,0,4516,
0,1245115,0,4473,
0,1226815,0,4481,
0,1244794,0,4472,
0,1226611,0,4475,
0,1226330,0,4472,
0,1226017,0,4471,
0,1226314,0,4473,
0,1226967,0,4473,
0,1226046,0,4472,
0,1225300,0,4469,
0,1226034,0,4472,
0,1226436,0,4471,
0,1226407,0,4476,
0,1227200,0,4479,
0,1226027,0,4472,
0,1226551,0,4475,
0,1227395,0,4481,
0,1229426,0,4472,
0,1225973,0,4472,
0,1227141,0,4477,
0,1225957,0,4471,
0,1226237,0,4472,
0,1225681,0,4475,
0,1246362,0,4476,
0,1259035,0,4476,
0,1225981,0,4472,
0,1226233,0,4473,
0,1226028,0,4470,
0,1226304,0,4476,
159,1416517,0,4552,
0,1260656,0,4474,
0,1235561,0,4474,
0,1226064,0,4473,
0,1225977,0,4472,
0,1225962,0,4472,
0,1225939,0,4469,
0,1227060,0,4476,
0,1225971,0,4472,
0,1226347,0,4477,
0,1226092,0,4470,
0,1225958,0,4472,
0,1226245,0,4473,
0,1226774,0,4474,
0,1227044,0,4482,
0,1241906,0,4478,
0,1225920,0,4478,
0,1226652,0,4479,
0,1226481,0,4474,
0,1226448,0,4477,
0,1226349,0,4477,
0,1225967,0,4472,
0,1226783,0,4476,
0,1226380,0,4477,
0,1226380,0,4477,
0,1226763,0,4475,
0,1226496,0,4475,
0,1232932,0,4476,
0,1226263,0,4476,
0,1225908,0,4471,
159,1415921,0,4551,
0,1261437,0,4474,
0,1226236,0,4480,
0,1226068,0,4473,
0,1226177,0,4469,
0,1248461,0,4471,
0,1226387,0,4477,
0,1257707,0,4473,
0,1226491,0,4475,
0,1225971,0,4472,
0,1226354,0,4477,
0,1226340,0,4477,
0,1227588,0,4480,
0,1225965,0,4472,
0,1225963,0,4472,
0,1225659,0,4474,
0,1226461,0,4475,
0,1226625,0,4478,
0,1226756,0,4474,
0,1225963,0,4472,
0,1226083,0,4470,
0,1225951,0,4471,
0,1226624,0,4478,
0,1226256,0,4477,
0,1226824,0,4473,
