kmem:mm_page_alloc,Time
2,284
0,200
0,197
0,197
0,198
0,196
0,196
0,198
0,197
0,196
0,196
0,196
0,197
0,198
0,197
0,195
0,193
0,197
0,196
0,196
0,199
0,198
0,197
0,196
0,198
0,196
0,198
0,197
0,197
0,197
0,197
0,197
0,197
0,198
0,199
0,197
0,195
0,198
0,198
0,197
0,196
0,198
0,197
0,198
0,196
0,197
0,196
0,196
0,197
0,197
0,197
0,193
0,198
0,196
0,197
0,198
0,198
0,196
0,217
0,232
0,229
0,363
0,228
0,226
0,212
0,198
0,199
0,197
0,193
0,198
0,197
0,198
0,198
0,197
0,196
0,197
0,198
0,197
0,198
0,198
0,197
0,198
0,196
0,197
0,198
0,198
0,197
0,197
0,196
0,197
0,197
0,196
0,197
0,197
0,197
0,197
0,198
0,198
0,198
0,195
