kmem:mm_page_alloc,Time
1,63
0,17
0,16
0,16
0,18
0,22
0,19
0,20
0,20
0,24
0,23
0,27
0,27
0,30
0,33
0,36
0,42
0,46
0,51
0,59
0,67
0,77
0,90
0,104
0,119
0,138
1,178
0,188
0,221
0,259
1,317
0,360
0,420
1,507
0,584
1,702
1,829
1,978
1,1154
1,1389
2,1618
2,1919
2,2262
3,2693
3,3227
4,3797
4,4526
7,5439
10,6468
40,7978
47,9440
55,11192
66,13340
78,15917
92,18898
109,22745
130,27512
160,33650
190,41255
226,50568
268,60751
318,73318
378,87513
450,105186
645,127120
765,153488
910,184668
0,10078
216,49720
409,99093
802,161459
21,20356
431,104199
0,1166
469,114215
206,47260
0,9140
0,2268
26,24934
411,99377
0,18137
0,4506
248,58007
0,1685
187,42248
0,8931
495,120723
0,3345
372,89782
0,17862
176,39411
0,6604
931,189386
184,41494
351,84295
0,13172
845,170863
366,88164
877,178116
13,27459
538,132357
67,41019
738,147274
305,63961
598,118053
815,163849
391,88890
319,76528
656,129880
612,121100
918,187074
264,62282
235,54947
164,36225
0,11445
660,130774
496,115159
453,110306
400,97052
0,9856
601,142614
0,20592
845,171155
354,85171
1007,207072
962,196122
0,16651
0,9099
1002,205138
898,182757
0,3921
788,158427
595,146713
0,18351
385,92628
191,43334
0,23529
0,1122
893,181381
200,45898
316,75438
382,92113
253,59601
977,200105
195,45008
927,189124
191,43386
215,49676
200,45865
932,189763
307,73168
835,168618
391,94586
0,14295
203,46153
469,114291
159,34773
285,67574
400,96752
791,158780
556,137060
14,26473
732,179589
211,48674
332,79438
751,187938
597,148173
356,85584
0,28640
329,78665
651,162413
0,7936
0,5566
594,147043
593,147468
336,80633
357,85859
444,108213
538,132382
29,36846
267,56409
640,126461
628,123706
780,156375
660,130869
432,95229
0,6632
977,200499
5,16228
23,20052
385,92757
396,95884
456,110878
163,35876
472,115189
0,11592
755,152139
161,35466
818,164879
701,139355
490,119738
439,106358
997,204201
907,184585
503,123070
730,145776
170,37741
176,39651
0,15806
845,170649
474,116309
741,148700
685,136313
281,66559
908,184686
0,16948
15,22675
496,121551
411,99597
0,14777
6,23616
954,195319
962,196527
672,164060
0,16690
524,128555
414,100533
944,192554
983,200874
0,4672
964,197451
0,6532
280,66013
311,74996
972,198806
0,20937
545,133963
0,9067
616,153100
351,84271
0,2475
422,102420
413,100337
505,123707
416,101238
4,27419
319,76221
308,73462
692,172288
383,92701
555,137002
334,79958
912,185447
0,831
238,55819
896,182357
442,107441
681,170565
233,54359
288,68388
0,12553
247,57773
946,193575
927,189541
309,73700
477,116326
283,67068
182,41006
0,6696
296,70136
882,178704
424,102829
364,87494
442,107272
0,4025
528,129691
29,33770
562,138504
770,194598
310,73893
274,65129
638,159047
336,80488
0,8764
0,22740
0,2473
0,2140
474,115615
792,200758
734,184818
758,191281
744,187566
61,46372
115,24748
921,188019
760,152098
806,162552
545,133868
221,51490
451,109464
32,29670
0,12128
769,191669
527,129434
461,112194
664,165917
0,8222
398,95982
497,121385
671,167720
229,53256
628,156189
0,21585
0,21885
565,139594
0,21693
319,75998
753,190093
699,175025
32,38173
640,126446
751,150151
578,119991
477,116487
240,56007
499,121532
374,90365
554,146625
878,178360
845,170514
191,43411
575,140619
621,152224
0,16749
240,55920
0,20561
261,61392
374,90135
0,15819
0,19295
348,83394
0,23171
966,197270
240,56183
937,191472
271,64132
0,452
302,71900
394,95509
0,6070
259,60831
1013,207782
0,928
603,149596
31,30432
449,109068
392,94769
625,155478
230,53506
243,56933
251,59062
616,152912
435,105524
404,97897
383,92460
280,66349
0,22179
3,30676
78,47242
968,198208
847,171588
95,20824
324,77304
0,18383
147,31843
397,95985
180,40556
509,124474
0,13551
691,137817
446,108402
876,177825
396,96143
715,143451
399,97291
276,65582
860,175484
0,3001
974,200128
471,114782
317,75899
933,190931
29,25283
80,41791
74,17373
855,173283
14,19096
349,83720
812,164038
0,14564
214,49283
0,10860
793,159380
428,103685
550,132454
595,144528
917,186213
858,173844
887,180000
528,130085
203,46574
587,145032
479,116722
359,86239
0,7614
997,204398
0,13430
293,69397
937,190666
295,70090
483,118011
17,26549
1001,205541
651,162496
630,156594
574,141824
0,22637
686,170354
734,182305
243,56980
557,137595
585,144817
0,22590
413,99911
256,60082
410,99207
0,23112
15,32785
763,193281
454,110361
0,7878
240,55867
506,123729
646,160982
457,110953
0,1547
701,176558
0,5133
0,12183
0,19031
535,131392
582,144310
3,33424
242,56446
499,122071
778,197273
761,192254
767,193668
556,137250
302,71728
698,175262
698,175514
312,74585
0,20817
0,13555
615,152547
289,68673
728,183167
0,4459
764,193421
452,109886
713,179263
0,19809
753,189897
535,131775
778,196934
731,184292
0,32637
0,4204
510,124798
0,21045
0,5550
241,56263
384,92521
519,127309
0,3031
759,191474
546,134438
314,75070
0,15834
456,110558
258,60823
760,192251
737,185868
715,179654
81,50547
892,181022
1011,209307
0,1185
511,106085
758,151727
33,23026
648,157159
55,36388
0,15255
738,185489
568,140292
0,23268
0,34992
299,70881
598,148360
747,187959
257,60537
716,180231
501,122943
342,81986
717,180180
728,183039
766,193546
0,33875
539,132952
343,82333
722,181536
746,188009
756,190689
311,74267
545,134362
663,165729
0,11694
799,201971
792,200532
0,34509
392,94527
757,190685
48,46247
465,96550
304,72504
0,5386
850,171823
56,25398
424,102543
408,98995
448,108886
966,197499
520,127362
509,124763
608,150647
543,133324
259,60864
514,125864
272,64293
1012,207389
563,138635
0,24403
983,201203
0,8727
597,148373
668,164740
496,121263
21,30442
528,129325
393,95023
231,53841
987,201548
483,118107
735,185035
511,125247
0,15411
196,44805
715,179377
357,85963
1002,205372
344,82658
203,46319
0,14356
962,198190
566,139367
457,111285
515,126114
619,153667
386,93447
347,83410
388,93792
674,168589
958,195608
628,155991
678,169722
489,119362
739,185868
192,43655
480,117027
551,136333
0,18367
0,21019
398,95923
0,12417
634,157369
0,25825
0,1871
0,5613
708,177367
610,151162
275,65060
595,147329
685,171624
0,14209
708,177356
642,159625
0,11537
581,143219
522,128119
0,23664
297,70534
289,68480
601,149044
0,21762
0,24675
381,91703
336,80509
306,72950
241,56341
0,15690
301,71360
289,68504
327,78225
734,184673
232,54052
474,115880
276,65595
723,181791
746,201509
697,174766
286,67935
47,40725
821,165280
0,963
444,92448
768,154090
21,18353
321,76488
672,133467
204,46749
933,190563
456,110944
236,55242
187,42279
217,50140
27,23081
901,183062
0,12428
384,92919
972,198627
342,81982
501,122556
632,154506
1013,207417
907,184605
675,165939
525,129095
323,77171
597,147858
954,194741
0,20590
998,204755
443,107858
481,117479
599,148762
0,10036
0,13294
0,10825
0,16437
437,105876
0,10863
0,23970
391,94189
609,150921
364,87705
694,172354
278,65872
557,137463
641,159708
529,129946
285,67672
455,110688
520,127575
511,125287
472,115234
0,9722
0,11098
653,163039
982,201221
568,140371
0,19688
618,153418
930,189352
949,193386
981,200321
604,149837
419,101701
643,160685
0,27693
971,198342
185,41791
0,20685
964,196872
671,167758
0,23112
419,101504
292,69246
1008,206668
307,73146
549,135864
543,133731
471,115722
188,42543
620,154933
567,141033
699,176164
0,3805
908,185861
0,19981
360,86369
0,23483
982,201221
490,119738
0,23438
0,11948
0,10911
301,71347
371,89350
315,75173
303,72067
898,182583
910,185598
433,105106
0,11295
961,196258
260,61161
259,60938
16,31601
0,31356
642,159908
724,182095
231,53703
0,21203
317,75550
708,178013
816,204575
779,197332
0,20631
0,12374
350,84003
274,64787
0,14216
580,143059
395,95503
663,165561
224,51873
0,6014
584,144660
0,9030
513,125369
634,157656
547,134921
669,166973
0,26671
354,84897
76,49744
128,27124
286,60204
551,120638
441,107117
416,100931
271,63931
912,186008
0,14546
293,69472
821,165455
643,152392
959,195938
786,158079
223,51716
255,59767
256,60105
0,12835
40,32197
237,55356
596,147605
818,205602
248,58129
540,132785
769,194572
236,55153
489,119456
384,93000
746,192792
0,32427
761,193046
473,115307
336,80949
752,190284
729,183654
624,154960
9,35941
320,76228
574,141564
620,154070
43,45374
855,172797
235,49564
395,86698
294,69787
496,114733
0,8800
214,49407
230,53575
1007,206040
655,129498
810,163390
773,155631
986,201849
687,136573
9,19808
0,15476
958,195271
915,185938
0,4908
413,99933
378,91229
548,132830
832,168655
490,119885
164,36102
0,5027
549,134736
523,128332
892,181297
898,182694
472,115062
1007,206661
198,45324
953,194962
468,114040
546,134520
901,183183
518,127180
214,49442
234,54589
828,167314
900,182526
835,168405
0,7812
2,21951
245,57385
18,25379
