r0003,r0005,0
1958,109,1177
717,11,1124
609,1,1123
664,2,1133
651,2,1123
640,1,1122
585,1,1122
745,1,1145
622,1,1122
628,1,1121
648,1,1123
711,1,1145
601,1,1121
983,2,1123
621,1,1122
695,3,1144
717,1,1123
670,1,1122
654,1,1121
686,1,1135
623,1,1122
981,3,1123
709,1,1123
715,1,1123
658,1,1122
658,1,1122
707,1,1122
712,1,1123
656,1,1123
706,1,1123
680,2,1122
639,1,1123
618,1,1122
652,1,1122
683,1,1143
531,1,1121
574,1,1122
587,1,1121
638,1,1143
623,1,1122
617,1,1122
594,1,1122
696,1,1143
647,1,1121
636,1,1121
748,1,1123
757,2,1135
635,1,1122
612,1,1122
616,1,1122
689,1,1123
667,1,1122
633,1,1122
613,1,1122
719,1,1123
628,1,1122
563,1,1122
597,1,1122
668,1,1123
668,1,1122
598,1,1122
813,2,1146
608,2,1122
629,1,1123
632,1,1121
719,1,1143
602,1,1122
709,1,1122
700,1,1123
739,1,1143
676,1,1122
623,1,1121
651,1,1122
664,1,1144
678,1,1122
675,1,1122
624,1,1121
655,4,1123
687,1,1122
881,1,1123
652,1,1121
624,1,1121
593,1,1121
611,1,1122
593,1,1122
628,1,1122
667,1,1123
635,1,1122
770,1,1144
618,1,1121
574,1,1121
696,1,1122
761,2,1143
691,1,1123
627,1,1122
708,1,1123
778,1,1145
668,1,1121
601,1,1122
785,1,1123
